Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,SoCon Championships,125,W,FALL,4:47,Waylon Rogers,93673,4 - 15,VMI,Bryson Terrell,79650
2025,03/07,SoCon Championships,125,L,DEC,9 - 7,Tyson Lane,75724,9 - 9,Gardner-Webb,Bryson Terrell,79650
2025,03/07,SoCon Championships,125,L,DEC,6 - 2,Jack Parker,71291,15 - 11,Bellarmine,Bryson Terrell,79650
2025,02/23,Campbell - Appalachian State Dual,125,L,SV-1,9 - 6,Cooper Shore,84285,18 - 3,Campbell,Bryson Terrell,79650
2025,02/16,Davidson - Appalachian State Dual,125,W,FALL,3:43,Luke Passarelli,78850,5 - 13,Davidson,Bryson Terrell,79650
2025,02/09,Chattanooga - Appalachian State Dual,125,W,MD,11 - 3,Ty Tice,84391,7 - 19,Chattanooga,Bryson Terrell,79650
2025,02/04,Appalachian State - Gardner-Webb Dual,125,W,FALL,2:28,Tyson Lane,75724,9 - 9,Gardner-Webb,Bryson Terrell,79650
2025,01/31,Appalachian State - Bellarmine Dual,125,L,DEC,6 - 3,Jack Parker,71291,15 - 11,Bellarmine,Bryson Terrell,79650
2025,01/27,Presbyterian - Appalachian State Dual,125,W,MD,9 - 0,Brayden Adams,78607,2 - 14,Presbyterian,Bryson Terrell,79650
2025,01/19,Virginia Tech - Appalachian State Dual,125,L,FALL,2:27,Eddie Ventresca,62357,22 - 5,Virginia Tech,Bryson Terrell,79650
2025,01/12,Appalachian State - The Citadel Dual,125,L,DEC,8 - 2,Gylon Sims,84440,19 - 9,The Citadel,Bryson Terrell,79650
2025,01/04,Southern Scuffle,125,W,DEC,9 - 3,Elijah Lowe,93497,11 - 8,Chattanooga,Bryson Terrell,79650
2025,01/04,Southern Scuffle,125,L,DEC,4 - 2,Coen Bainey,78808,13 - 13,American,Bryson Terrell,79650
2025,01/04,Southern Scuffle,125,L,TF5,23 - 8 6:20,Kurt McHenry,56182,7 - 4,Penn State,Bryson Terrell,79650
2025,12/20,Wilkes Open,125,L,SV-1,6 - 3,Shamus Regan,100185,Unlisted,Wyoming Seminary Prep,Bryson Terrell,79650
2025,12/20,Wilkes Open,125,W,MD,17 - 8,Lucas Vannostrand,97973,Unlisted,Apprentice School,Bryson Terrell,79650
2025,12/20,Wilkes Open,125,W,FALL,3:29,Keito Shaw,76168,Unlisted,Alvernia,Bryson Terrell,79650
2025,12/20,Wilkes Open,125,W,TF5,17 - 2 1:49,Luke Heimbach,88654,Unlisted,Pennsylvania College of Technology,Bryson Terrell,79650
2025,12/12,Appalachian State - VMI Dual,125,W,TF5,17 - 2 7:00,Cody Tanner,93674,5 - 12,VMI,Bryson Terrell,79650
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,13 - 9,Kaedyn Williams,84379,Unlisted,Unattached,Bryson Terrell,79650
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,5 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,Bryson Terrell,79650
2025,12/08,A Better Way Athletics Patriot Open,125,W,FALL,1:52,Ryan Messick,93764,Unlisted,Southeast RTC,Bryson Terrell,79650
2025,12/08,A Better Way Athletics Patriot Open,125,W,FALL,2:06,Ty Porter,84936,0 - 10,Gardner-Webb,Bryson Terrell,79650
2025,11/09,Mountaineer Invitational,125,W,FALL,4:20,Cam Stinson,84378,12 - 7,North Carolina,Bryson Terrell,79650
2025,11/09,Mountaineer Invitational,125,L,DEC,9 - 7,Brandon Morvari,81742,4 - 6,Minnesota,Bryson Terrell,79650
2025,11/09,Mountaineer Invitational,125,L,DEC,8 - 3,Cooper Flynn,72148,16 - 8,Minnesota,Bryson Terrell,79650
2025,11/03,Battle at The Citadel,125,L,MD,16 - 5,Noah Luna,79081,5 - 10,Appalachian State,Bryson Terrell,79650
2025,11/03,Battle at The Citadel,125,W,DEC,10 - 9,JB Dragovich,78828,14 - 13,George Mason,Bryson Terrell,79650
2025,11/03,Battle at The Citadel,125,L,TF5,19 - 4 3:32,Vincent Robinson,78062,24 - 3,NC State,Bryson Terrell,79650
2024,02/25,Wildcat Open,125,W,TF5,15 - 0 1:33,Enis Ljikovic,84455,0 - 14,Davidson,Bryson Terrell,79650
2024,02/25,Wildcat Open,125,W,DEC,6 - 4,Marcus Wright,84410,0 - 8,The Citadel,Bryson Terrell,79650
2024,02/25,Wildcat Open,125,L,MD,14 - 4,Vincent Robinson,78062,11 - 2,NC State,Bryson Terrell,79650
2024,01/27,Appalachian Open,125,W,DEC,6 - 4,Marcus Wright,84410,0 - 8,The Citadel,Bryson Terrell,79650
2024,01/27,Appalachian Open,125,L,TF5,19 - 3 5:44,Vincent Robinson,78062,11 - 2,NC State,Bryson Terrell,79650
2024,01/27,Appalachian Open,125,L,DEC,6 - 4,Jackson Baglio,77783,4 - 5,NC State,Bryson Terrell,79650
2025,01/27,Presbyterian - Appalachian State Dual,133,W,DEC,1 - 0,Tj Rodier,92517,3 - 15,Presbyterian,Colby McBride,79082
2025,01/25,Appalachian Open,125,W,MD,8 - 0,Bradley Yokum,94003,6 - 7,NC State,Colby McBride,79082
2025,01/25,Appalachian Open,125,W,DEC,6 - 2,Anthony Rossi,85124,8 - 6,Virginia,Colby McBride,79082
2025,01/25,Appalachian Open,125,L,DEC,8 - 1,Louie Gill,79342,14 - 3,NC State,Colby McBride,79082
2025,12/20,Wilkes Open,125,L,DEC,2 - 0,Shamus Regan,100185,Unlisted,Wyoming Seminary Prep,Colby McBride,79082
2025,12/20,Wilkes Open,125,W,DEC,4 - 2,Keito Shaw,76168,Unlisted,Alvernia,Colby McBride,79082
2025,12/20,Wilkes Open,125,W,MD,9 - 1,Dominic Terracciano,97197,Unlisted,New Jersey City University,Colby McBride,79082
2025,12/20,Wilkes Open,125,W,MD,13 - 2,Gavin Boland,93385,Unlisted,Millersville,Colby McBride,79082
2025,12/20,Wilkes Open,125,W,FALL,3:33,Cadden Kucek,79760,Unlisted,Wilkes,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,L,SV-1,8 - 5,Tyler Garvin,84590,5 - 21,Maryland,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,W,SV-1,4 - 1,Jack Bergmann,93101,2 - 6,Navy,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,W,DEC,5 - 3,Noah Michaels,93265,13 - 10,Rider,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,13 - 5,Ryan Messick,93764,Unlisted,Southeast RTC,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,W,FALL,3:00,Ty Porter,84936,0 - 10,Gardner-Webb,Colby McBride,79082
2025,12/08,A Better Way Athletics Patriot Open,125,W,CMFF,0 - 0,Tyson Lane,75724,9 - 9,Gardner-Webb,Colby McBride,79082
2025,11/09,Mountaineer Invitational,125,L,DEC,5 - 1,Noah Luna,79081,5 - 10,Appalachian State,Colby McBride,79082
2025,11/09,Mountaineer Invitational,125,W,DEC,4 - 3,Cam Stinson,84378,12 - 7,North Carolina,Colby McBride,79082
2025,11/09,Mountaineer Invitational,125,W,SV-1,4 - 1,Brayden Adams,78607,2 - 14,Presbyterian,Colby McBride,79082
2025,11/09,Mountaineer Invitational,125,L,TF5,18 - 1 5:00,Cooper Flynn,72148,16 - 8,Minnesota,Colby McBride,79082
2025,11/03,Battle at The Citadel,125,L,DEC,2 - 0,Ben Monn,69708,17 - 13,George Mason,Colby McBride,79082
2025,11/03,Battle at The Citadel,125,W,MD,17 - 3,Genaro De La Garza,84461,1 - 6,The Citadel,Colby McBride,79082
2025,11/03,Battle at The Citadel,125,L,DEC,10 - 3,Malik Hardy,73357,8 - 6,The Citadel,Colby McBride,79082
2024,01/27,Appalachian Open,125,W,DEC,7 - 6,Matthew Rowland,80035,4 - 10,Gardner-Webb,Colby McBride,79082
2024,01/27,Appalachian Open,125,L,DEC,9 - 5,Jackson Baglio,77783,4 - 5,NC State,Colby McBride,79082
2024,01/27,Appalachian Open,125,L,TF5,20 - 5 7:00,Jakob Camacho,50655,17 - 6,NC State,Colby McBride,79082
2024,12/03,Patriot Open,125,L,DEC,5 - 2,Zander Phaturos,73554,11 - 10,Campbell,Colby McBride,79082
2024,12/03,Patriot Open,125,W,FALL,2:05,Gunner Chambers,84437,3 - 8,George Mason,Colby McBride,79082
2024,12/03,Patriot Open,125,L,TF5,19 - 4 5:53,Anthony Noto,64642,22 - 3,Lock Haven,Colby McBride,79082
2024,12/03,Patriot Open,125,W,DEC,6 - 4,John Hager,84396,6 - 15,Davidson,Colby McBride,79082
2024,11/11,Mountaineer Invitational,125,L,DEC,9 - 4,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Colby McBride,79082
2024,11/11,Mountaineer Invitational,125,L,TF5,16 - 0 3:20,Tucker Owens,71711,11 - 12,Air Force,Colby McBride,79082
2024,11/04,Southeast Open,125,L,DEC,8 - 2,Bryce Skinner,84402,2 - 2,Ohio,Colby McBride,79082
2024,11/04,Southeast Open,125,L,DEC,8 - 6,Malachi O'Leary,78919,2 - 7,Ohio,Colby McBride,79082
2023,01/28,Appalachian Open,125,L,MD,15 - 3,Chad Bellis,71922,8 - 7,Appalachian State,Colby McBride,79082
2023,01/28,Appalachian Open,125,L,DEC,6 - 2,William Bishop,83810,Unlisted,Unattached,Colby McBride,79082
2023,11/12,App State Open,125,W,DEC,8 - 4,Eamonn Jimenez,78779,2 - 12,Edinboro,Colby McBride,79082
2023,11/12,App State Open,125,L,DEC,3 - 2,Chris Merlo,69410,1 - 4,Edinboro,Colby McBride,79082
2023,11/12,App State Open,125,L,DEC,7 - 0,Patrick McCormick,57063,7 - 14,Virginia,Colby McBride,79082
2023,11/05,Southeast Open,125,L,DEC,6 - 0,Devon Diaco,78849,1 - 14,Davidson,Colby McBride,79082
2023,11/05,Southeast Open,125,L,TF5,22 - 6 4:11,Kyle Montaperto,73138,6 - 6,Virginia,Colby McBride,79082
2025,01/25,Appalachian Open,133,L,DEC,3 - 1,Charleston Baglio,92984,6 - 7,Appalachian State,Noah Luna,79081
2025,01/25,Appalachian Open,133,L,TF5,16 - 0 3:20,Dillon Campbell,84388,7 - 3,Virginia Tech,Noah Luna,79081
2025,12/06,Cliff Keen Invitational,125,L,DEC,8 - 3,Carson Wagner,78720,23 - 12,Binghamton,Noah Luna,79081
2025,12/06,Cliff Keen Invitational,125,L,TF5,17 - 2 3:22,Matt Ramos,57134,31 - 3,Purdue,Noah Luna,79081
2025,11/22,West Virginia - Appalachian State Dual,125,L,FALL,5:42,Jace Schafer,73377,10 - 6,West Virginia,Noah Luna,79081
2025,11/15,Appalachian State - NC State Dual,125,L,TF5,20 - 5 7:00,Vincent Robinson,78062,24 - 3,NC State,Noah Luna,79081
2025,11/09,Mountaineer Invitational,125,W,DEC,1 - 0,Brandon Morvari,81742,4 - 6,Minnesota,Noah Luna,79081
2025,11/09,Mountaineer Invitational,125,L,FALL,3:08,Brandon Morvari,81742,4 - 6,Minnesota,Noah Luna,79081
2025,11/09,Mountaineer Invitational,125,W,DEC,5 - 1,Colby McBride,79082,10 - 6,Appalachian State,Noah Luna,79081
2025,11/09,Mountaineer Invitational,125,L,DEC,9 - 2,Eddie Ventresca,62357,22 - 5,Virginia Tech,Noah Luna,79081
2025,11/03,Battle at The Citadel,125,W,MD,16 - 5,Bryson Terrell,79650,11 - 13,Appalachian State,Noah Luna,79081
2025,11/03,Battle at The Citadel,125,W,DEC,5 - 3,Nico Tocci,73466,3 - 8,Air Force,Noah Luna,79081
2025,11/03,Battle at The Citadel,125,L,DEC,11 - 9,Tyler Washburn,85947,8 - 6,The Citadel,Noah Luna,79081
2025,11/03,Battle at The Citadel,125,W,DEC,10 - 7,Malik Hardy,73357,8 - 6,The Citadel,Noah Luna,79081
2025,11/03,Battle at The Citadel,125,L,MD,14 - 4,Louie Gill,79342,14 - 3,NC State,Noah Luna,79081
2024,02/04,VMI - Appalachian State Dual,133,L,DEC,9 - 5,Dyson Dunham,73559,21 - 16,VMI,Noah Luna,79081
2024,01/01,Southern Scuffle,125,L,DEC,7 - 6,Blaine Frazier,78575,9 - 17,Indiana,Noah Luna,79081
2024,01/01,Southern Scuffle,125,W,DEC,8 - 3,Malik Hardy,73357,14 - 17,The Citadel,Noah Luna,79081
2024,01/01,Southern Scuffle,125,L,DEC,10 - 7,Desmond Pleasant,71583,19 - 16,Drexel,Noah Luna,79081
2024,01/01,Southern Scuffle,125,W,TB-2,4 - 3,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Noah Luna,79081
2024,12/17,North Carolina - Appalachian State Dual,125,L,DEC,8 - 6,Spencer Moore,68720,15 - 5,North Carolina,Noah Luna,79081
2024,12/01,Cliff Keen Invitational,125,L,DEC,9 - 6,Spencer Moore,68720,15 - 5,North Carolina,Noah Luna,79081
2024,12/01,Cliff Keen Invitational,125,W,MD,14 - 2,Eddie Ventresca,62357,2 - 7,Virginia Tech,Noah Luna,79081
2024,12/01,Cliff Keen Invitational,125,L,FALL,6:36,Matt Ramos,57134,27 - 7,Purdue,Noah Luna,79081
2024,11/19,Keystone Classic,125,W,MD,13 - 2,Gabe Giampietro,72979,12 - 8,Drexel,Noah Luna,79081
2024,11/19,Keystone Classic,125,W,DEC,10 - 3,Chad Bellis,71922,21 - 14,Appalachian State,Noah Luna,79081
2024,11/19,Keystone Classic,125,L,DEC,9 - 7,Desmond Pleasant,71583,19 - 16,Drexel,Noah Luna,79081
2024,11/19,Keystone Classic,125,L,TF5,22 - 5 5:56,Ryan Miller,62350,17 - 6,Pennsylvania,Noah Luna,79081
2024,11/19,Keystone Classic,125,W,DEC,11 - 5,Blaine Frazier,78575,9 - 17,Indiana,Noah Luna,79081
2024,11/11,Mountaineer Invitational,125,L,DEC,8 - 7,Matthew Rowland,80035,4 - 10,Gardner-Webb,Noah Luna,79081
2024,11/11,Mountaineer Invitational,125,L,FALL,5:18,Drew West,50041,23 - 9,Gardner-Webb,Noah Luna,79081
2024,11/05,Battle at The Citadel,125,W,DEC,8 - 2,Desmond Pleasant,71583,19 - 16,Drexel,Noah Luna,79081
2024,11/05,Battle at The Citadel,125,W,MD,11 - 0,Shamil Kalmatov,72680,6 - 12,American,Noah Luna,79081
2024,11/05,Battle at The Citadel,125,L,FALL,2:46,Jack Maida,72679,15 - 5,American,Noah Luna,79081
2023,01/28,Appalachian Open,125,W,TF5,16 - 1 3:25,JaJuan Givens,82943,Unlisted,Greensboro,Noah Luna,79081
2023,01/28,Appalachian Open,125,L,FALL,5:17,Peyton Fenton,77869,3 - 1,Virginia,Noah Luna,79081
2023,01/28,Appalachian Open,125,W,DEC,6 - 3,Cole Hunt,72654,5 - 4,North Carolina,Noah Luna,79081
2023,01/28,Appalachian Open,125,W,DEC,6 - 1,Aedyn Concepcion,69782,5 - 6,Gardner-Webb,Noah Luna,79081
2023,01/01,Southern Scuffle,125,W,DEC,5 - 0,Dylan Acevedo-Switzer,73023,1 - 10,Hofstra,Noah Luna,79081
2023,01/01,Southern Scuffle,125,L,FALL,3:13,Jeremiah Reno,62342,15 - 10,Little Rock,Noah Luna,79081
2023,01/01,Southern Scuffle,125,L,DEC,7 - 5,Matt Ramos,57134,33 - 5,Purdue,Noah Luna,79081
2023,11/12,App State Open,125,W,FALL,3:52,Malachi O'Leary,78919,1 - 3,Ohio,Noah Luna,79081
2023,11/12,App State Open,125,W,MD,11 - 3,Eamonn Jimenez,78779,2 - 12,Edinboro,Noah Luna,79081
2023,11/12,App State Open,125,L,DEC,2 - 0,Tyson Lane,75724,6 - 8,Gardner-Webb,Noah Luna,79081
2023,11/12,App State Open,125,W,MD,10 - 0,Chris Merlo,69410,1 - 4,Edinboro,Noah Luna,79081
2023,11/12,App State Open,125,L,FALL,7:22,Patrick McCormick,57063,7 - 14,Virginia,Noah Luna,79081
2023,11/05,Southeast Open,125,W,DEC,4 - 1,Anthony Aniciete,78617,Unlisted,Tiffin University,Noah Luna,79081
2023,11/05,Southeast Open,125,L,DEC,6 - 4,Caelan Riley,73733,4 - 7,The Citadel,Noah Luna,79081
2023,11/05,Southeast Open,125,W,DEC,9 - 5,Josh Noble,73612,Unlisted,Roanoke College,Noah Luna,79081
2023,11/05,Southeast Open,125,L,TF5,15 - 0 2:53,Mason Leiphart,73193,23 - 13,Franklin & Marshall,Noah Luna,79081
2025,03/07,SoCon Championships,133,W,DEC,5 - 0,George Rosas,78686,12 - 15,The Citadel,Chad Bellis,71922
2025,03/07,SoCon Championships,133,W,FALL,2:53,Kyle Gibson,93267,1 - 9,VMI,Chad Bellis,71922
2025,03/07,SoCon Championships,133,L,DEC,5 - 1,Trayce Eckman,78874,12 - 16,Bellarmine,Chad Bellis,71922
2025,03/07,SoCon Championships,133,W,DEC,8 - 6,Logan Heil,57515,14 - 13,Campbell,Chad Bellis,71922
2025,02/23,Campbell - Appalachian State Dual,133,L,DEC,11 - 7,Logan Heil,57515,14 - 13,Campbell,Chad Bellis,71922
2025,02/16,Davidson - Appalachian State Dual,133,W,FALL,1:46,Hale Robinson,70746,1 - 9,Davidson,Chad Bellis,71922
2025,02/09,Chattanooga - Appalachian State Dual,133,L,SV-1,5 - 2,Blake Boarman,70737,20 - 8,Chattanooga,Chad Bellis,71922
2025,02/04,Appalachian State - Gardner-Webb Dual,133,L,DEC,14 - 11,TK Davis,84306,24 - 8,Gardner-Webb,Chad Bellis,71922
2025,01/31,Appalachian State - Bellarmine Dual,133,W,TF5,18 - 3 5:42,Trayce Eckman,78874,12 - 16,Bellarmine,Chad Bellis,71922
2025,01/20,Duke - Appalachian State Dual,133,W,MD,18 - 4,Raymond Adams,84586,6 - 24,Duke,Chad Bellis,71922
2025,01/19,Virginia Tech - Appalachian State Dual,133,L,MD,13 - 3,Connor McGonagle,56713,19 - 4,Virginia Tech,Chad Bellis,71922
2025,01/12,Appalachian State - The Citadel Dual,133,W,MD,11 - 1,George Rosas,78686,12 - 15,The Citadel,Chad Bellis,71922
2025,12/20,Wilkes Open,133,W,DEC,5 - 1,Andrew Binni,85091,Unlisted,US Naval Academy Prep School,Chad Bellis,71922
2025,12/20,Wilkes Open,133,W,MD,11 - 3,Blake Reihner,85066,10 - 7,Davidson,Chad Bellis,71922
2025,12/20,Wilkes Open,133,W,SV-1,11 - 8,John Hager,84396,1 - 6,Davidson,Chad Bellis,71922
2025,12/20,Wilkes Open,133,W,TF5,17 - 2 6:12,Hale Robinson,70746,1 - 9,Davidson,Chad Bellis,71922
2025,12/12,Appalachian State - VMI Dual,133,L,DEC,7 - 3,Dyson Dunham,73559,7 - 11,VMI,Chad Bellis,71922
2025,12/06,Cliff Keen Invitational,133,W,FALL,4:35,Massey Odiotti,84345,11 - 17,Northwestern,Chad Bellis,71922
2025,12/06,Cliff Keen Invitational,133,L,DEC,6 - 3,Tyler Knox,83265,28 - 9,Stanford,Chad Bellis,71922
2025,12/06,Cliff Keen Invitational,133,W,SV-1,4 - 1,Brett Ungar,68705,5 - 3,Cornell,Chad Bellis,71922
2025,12/06,Cliff Keen Invitational,133,L,DEC,10 - 6,Dylan Ragusin,63153,6 - 3,Michigan,Chad Bellis,71922
2025,11/22,West Virginia - Appalachian State Dual,133,L,SV-1,11 - 8,Jett Strickenberger,74382,16 - 8,West Virginia,Chad Bellis,71922
2025,11/15,Appalachian State - NC State Dual,133,W,DEC,7 - 5,Troy Hohman,75816,8 - 10,NC State,Chad Bellis,71922
2025,11/09,Mountaineer Invitational,133,L,DEC,7 - 2,Derek Guanajuato,81745,13 - 5,North Carolina,Chad Bellis,71922
2025,11/09,Mountaineer Invitational,133,L,DEC,7 - 6,Tyler Wells,79021,13 - 10,Minnesota,Chad Bellis,71922
2025,11/02,Southeast Open,133,W,FALL,1:37,Sean Hall,73615,Unlisted,Roanoke College,Chad Bellis,71922
2025,11/02,Southeast Open,133,W,DEC,5 - 2,Dyson Dunham,73559,7 - 11,VMI,Chad Bellis,71922
2025,11/02,Southeast Open,133,L,TF5,18 - 0 3:38,Mason Leiphart,73193,9 - 8,Franklin & Marshall,Chad Bellis,71922
2025,11/02,Southeast Open,133,W,DEC,14 - 10,Kyle Montaperto,73138,10 - 6,Virginia,Chad Bellis,71922
2025,11/02,Southeast Open,133,L,MD,17 - 7,Blake Boarman,70737,20 - 8,Chattanooga,Chad Bellis,71922
2025,11/02,Southeast Open,133,W,MD,17 - 8,Tommy Maddox,63165,7 - 14,West Virginia,Chad Bellis,71922
2024,03/09,SoCon Championships,125,L,DEC,14 - 10,Anthony Molton,57207,21 - 5,Campbell,Chad Bellis,71922
2024,03/09,SoCon Championships,125,W,FALL,1:21,Malik Hardy,73357,14 - 17,The Citadel,Chad Bellis,71922
2024,03/09,SoCon Championships,125,L,DEC,5 - 2,Brayden Palmer,59826,17 - 4,Chattanooga,Chad Bellis,71922
2024,03/09,SoCon Championships,125,W,FALL,0:52,Enis Ljikovic,84455,0 - 14,Davidson,Chad Bellis,71922
2024,02/25,Gardner-Webb - Appalachian State Dual,125,W,FALL,6:04,Matthew Rowland,80035,4 - 10,Gardner-Webb,Chad Bellis,71922
2024,02/18,Bellarmine - Appalachian State Dual,125,W,TF5,18 - 2 7:00,Damion Ryan,78489,8 - 10,Bellarmine,Chad Bellis,71922
2024,02/18,Cornell - Appalachian State Dual,125,L,TF5,15 - 0 4:52,Brett Ungar,68705,20 - 9,Cornell,Chad Bellis,71922
2024,02/11,Appalachian State - Chattanooga Dual,125,W,MD,10 - 0,Brayden Palmer,59826,17 - 4,Chattanooga,Chad Bellis,71922
2024,02/04,VMI - Appalachian State Dual,125,W,MD,13 - 2,Tony Burke,78464,6 - 19,VMI,Chad Bellis,71922
2024,02/02,Appalachian State - Campbell Dual,125,L,TF5,19 - 4 5:20,Anthony Molton,57207,21 - 5,Campbell,Chad Bellis,71922
2024,01/21,The Citadel - Appalachian State Dual,125,W,MD,12 - 2,Malik Hardy,73357,14 - 17,The Citadel,Chad Bellis,71922
2024,01/12,Appalachian State - Virginia Tech Dual,125,L,DEC,4 - 2,Cooper Flynn,72148,15 - 6,Virginia Tech,Chad Bellis,71922
2024,01/01,Southern Scuffle,125,L,DEC,5 - 3,Ethan Berginc,71779,24 - 11,Army West Point,Chad Bellis,71922
2024,01/01,Southern Scuffle,125,L,MD,15 - 2,Stevo Poulin,71929,18 - 6,Northern Colorado,Chad Bellis,71922
2024,01/01,Southern Scuffle,125,W,MD,14 - 3,Blaine Frazier,78575,9 - 17,Indiana,Chad Bellis,71922
2024,01/01,Southern Scuffle,125,W,INJ,6:57,Brayden Palmer,59826,17 - 4,Chattanooga,Chad Bellis,71922
2024,01/01,Southern Scuffle,125,W,FALL,1:25,Bronson Garber,56759,13 - 21,Bloomsburg,Chad Bellis,71922
2024,12/03,Patriot Open,125,W,FALL,1:56,Nick Treaster,89471,Unlisted,Unattached,Chad Bellis,71922
2024,12/03,Patriot Open,125,W,MD,14 - 4,Zander Phaturos,73554,11 - 10,Campbell,Chad Bellis,71922
2024,12/03,Patriot Open,125,W,DEC,9 - 2,Ben Monn,69708,8 - 7,George Mason,Chad Bellis,71922
2024,12/03,Patriot Open,125,L,DEC,6 - 5,Tyler Klinsky,62353,18 - 14,Rider,Chad Bellis,71922
2024,12/03,Patriot Open,125,W,FALL,3:25,Ernie Perry,84553,Unlisted,Spartan Combat RTC,Chad Bellis,71922
2024,12/03,Patriot Open,125,W,MD,12 - 1,Tommy Capul,73318,4 - 14,Maryland,Chad Bellis,71922
2024,11/19,Keystone Classic,125,L,DEC,10 - 3,Noah Luna,79081,8 - 11,Appalachian State,Chad Bellis,71922
2024,11/19,Keystone Classic,125,L,DEC,4 - 2,Michael Spangler,60212,7 - 7,Indiana,Chad Bellis,71922
2024,11/11,Mountaineer Invitational,125,W,DEC,4 - 2,Matthew Rowland,80035,4 - 10,Gardner-Webb,Chad Bellis,71922
2024,11/11,Mountaineer Invitational,125,W,FALL,2:26,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Chad Bellis,71922
2024,11/11,Mountaineer Invitational,125,L,FALL,0:58,Drew West,50041,23 - 9,Gardner-Webb,Chad Bellis,71922
2024,11/11,Mountaineer Invitational,125,L,MD,16 - 3,Tucker Owens,71711,11 - 12,Air Force,Chad Bellis,71922
2024,11/05,Battle at The Citadel,125,W,MD,16 - 6,Blaine Frazier,78575,9 - 17,Indiana,Chad Bellis,71922
2024,11/05,Battle at The Citadel,125,W,FALL,2:41,Desmond Pleasant,71583,19 - 16,Drexel,Chad Bellis,71922
2024,11/05,Battle at The Citadel,125,W,MD,12 - 3,Ben Monn,69708,8 - 7,George Mason,Chad Bellis,71922
2024,11/05,Battle at The Citadel,125,L,DEC,12 - 7,Jack Maida,72679,15 - 5,American,Chad Bellis,71922
2024,11/03,NC State - Appalachian State Dual,125,L,TF5,18 - 3 5:42,Jakob Camacho,50655,17 - 6,NC State,Chad Bellis,71922
2023,01/28,Appalachian Open,125,W,DEC,8 - 5,Matthew Rowland,80035,5 - 9,Gardner-Webb,Chad Bellis,71922
2023,01/28,Appalachian Open,125,W,MD,15 - 3,Colby McBride,79082,1 - 5,Appalachian State,Chad Bellis,71922
2023,01/28,Appalachian Open,125,L,DEC,8 - 5,Peyton Fenton,77869,3 - 1,Virginia,Chad Bellis,71922
2023,01/28,Appalachian Open,125,W,FALL,3:34,Jeffrey Jacome,73699,5 - 11,Gardner-Webb,Chad Bellis,71922
2023,01/28,Appalachian Open,125,W,INJ,4:25,Malik Hardy,73357,7 - 4,The Citadel,Chad Bellis,71922
2023,01/01,Southern Scuffle,125,W,FALL,1:40,Wyatt Richter,77773,0 - 7,Stanford,Chad Bellis,71922
2023,01/01,Southern Scuffle,125,L,DEC,6 - 2,Micah Roes,67299,12 - 13,Binghamton,Chad Bellis,71922
2023,01/01,Southern Scuffle,125,L,DEC,7 - 1,Trevor Mastrogiovanni,57608,11 - 5,Oklahoma State,Chad Bellis,71922
2023,11/20,Keystone Classic,125,W,DEC,7 - 2,Tristan Mascarenas,70010,6 - 5,Arizona State,Chad Bellis,71922
2023,11/20,Keystone Classic,125,L,FALL,0:38,Eddie Ventresca,62357,19 - 9,Virginia Tech,Chad Bellis,71922
2023,11/20,Keystone Classic,125,W,FALL,6:37,Antonio Mininno,50806,8 - 16,Drexel,Chad Bellis,71922
2023,11/20,Keystone Classic,125,L,DEC,7 - 6,Antonio Mininno,50806,8 - 16,Drexel,Chad Bellis,71922
2023,11/20,Keystone Classic,125,W,DEC,6 - 5,Mason Leiphart,73193,23 - 13,Franklin & Marshall,Chad Bellis,71922
2023,11/05,Southeast Open,125,W,SV-1,3 - 1,Conrad Hendriksen,80186,Unlisted,Boom Ranch WC,Chad Bellis,71922
2023,11/05,Southeast Open,125,L,FALL,1:29,Joe Haynes,73057,2 - 2,Virginia,Chad Bellis,71922
2023,11/05,Southeast Open,125,L,MD,16 - 5,Cooper Flynn,72148,14 - 6,Virginia Tech,Chad Bellis,71922
2023,11/05,Southeast Open,125,W,FALL,4:42,Fletcher Swindell,63363,Unlisted,Newberry,Chad Bellis,71922
2022,02/20,Presbyterian App State ECM,125,L,MD,13 - 2,Jacob Brasseur,61212,5 - 6,Presbyterian,Chad Bellis,71922
2022,01/29,Appalachain Open,125,W,FALL,1:46,Gabriel Joines,74431,Unlisted,Emory & Henry College,Chad Bellis,71922
2022,01/29,Appalachain Open,125,W,FALL,0:38,Gabriel Joines,74431,Unlisted,Emory & Henry College,Chad Bellis,71922
2022,01/13,App State Duke ECM,125,W,MD,10 - 0,Ty Naquin,74339,2 - 13,Duke,Chad Bellis,71922
2022,11/21,Keystone Classic,125,L,DEC,8 - 1,Diego Sotelo,71874,5 - 6,Harvard,Chad Bellis,71922
