Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/15,Columbia - Harvard Dual,125,L,MD,20 - 9,Sulayman Bah,79305,18 - 16,Columbia,Isaiah Adams,84480
2025,02/02,Harvard - Pennsylvania Dual,125,L,FALL,4:13,Max Gallagher,78893,26 - 10,Pennsylvania,Isaiah Adams,84480
2025,02/02,Harvard - Princeton Dual,125,L,TF5,24 - 7 6:18,Marc-Anthony McGowan,79468,16 - 4,Princeton,Isaiah Adams,84480
2025,01/10,Franklin & Marshall Open,125,W,DEC,8 - 3,Jaden Felipe,84925,2 - 4,Navy,Isaiah Adams,84480
2025,01/10,Franklin & Marshall Open,125,W,DEC,6 - 3,Gunner Havens,84318,1 - 3,Kent State,Isaiah Adams,84480
2025,01/10,Franklin & Marshall Open,125,W,MD,9 - 1,Charlie Colantonio,93444,2 - 6,Franklin & Marshall,Isaiah Adams,84480
2025,01/10,Franklin & Marshall Open,125,L,FALL,5:53,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Isaiah Adams,84480
2025,01/10,Franklin & Marshall Open,125,L,DEC,5 - 1,Max Elton,79785,17 - 19,Buffalo,Isaiah Adams,84480
2024,02/23,Harvard - Brown Dual,125,L,MD,13 - 2,Michael Joyce,76394,8 - 9,Brown,Isaiah Adams,84480
2024,02/16,Harvard - Columbia Dual,125,L,FALL,2:19,Nick Babin,65929,16 - 14,Columbia,Isaiah Adams,84480
2024,02/04,Pennsylvania - Harvard Dual,125,L,FALL,2:24,Max Gallagher,78893,19 - 10,Pennsylvania,Isaiah Adams,84480
2024,01/05,David Lehman Open,125,L,TF5,24 - 6 6:40,Jack Parker,83327,9 - 10,Franklin & Marshall,Isaiah Adams,84480
2024,01/05,David Lehman Open,125,L,DEC,7 - 1,Grant Treaster,63154,2 - 6,Navy,Isaiah Adams,84480
2024,11/04,Rhode Island Open,125,W,FALL,1:06,Lisa Hoang,86848,Unlisted,Unattached,Isaiah Adams,84480
2024,11/04,Rhode Island Open,125,W,FALL,1:34,Liam Campbell,86845,Unlisted,University of Massachusetts Amherst,Isaiah Adams,84480
2024,11/04,Rhode Island Open,125,W,FALL,6:19,Robert Stone,82907,Unlisted,Rhode Island College,Isaiah Adams,84480
2024,03/08,EIWA Championships,133,L,DEC,5 - 0,Kurt Phipps,63966,27 - 7,Bucknell,Coleman Nogle,84309
2024,03/08,EIWA Championships,133,L,DEC,8 - 2,Maximillian Leete,72678,17 - 13,American,Coleman Nogle,84309
2024,03/08,EIWA Championships,133,W,MD,9 - 0,Dylan Ryder,50876,12 - 12,Hofstra,Coleman Nogle,84309
2024,02/23,Harvard - Brown Dual,133,W,DEC,5 - 1,Hunter Adrian,65842,14 - 15,Brown,Coleman Nogle,84309
2024,02/16,Harvard - Columbia Dual,133,W,TF5,16 - 1 7:00,Sulayman Bah,79305,4 - 14,Columbia,Coleman Nogle,84309
2024,02/04,Pennsylvania - Harvard Dual,133,L,DEC,8 - 4,Michael Colaiocco,56733,16 - 12,Pennsylvania,Coleman Nogle,84309
2024,02/03,Princeton - Harvard Dual,133,L,DEC,10 - 7,Sean Pierson,60443,14 - 14,Princeton,Coleman Nogle,84309
2024,01/27,Harvard - Binghamton Dual,133,L,DEC,7 - 3,Micah Roes,67299,23 - 11,Binghamton,Coleman Nogle,84309
2024,01/27,Harvard - Cornell Dual,133,L,MD,14 - 4,Vitali Arujau,49108,18 - 2,Cornell,Coleman Nogle,84309
2024,01/20,Sacred Heart - Harvard Dual,133,L,DEC,7 - 3,Andrew Fallon,69899,17 - 6,Sacred Heart,Coleman Nogle,84309
2024,01/13,Harvard - North Carolina Dual,133,L,DEC,7 - 4,Jace Palmer,73198,9 - 10,North Carolina,Coleman Nogle,84309
2024,01/11,Harvard - Lock Haven Dual,133,L,DEC,5 - 1,Gable Strickland,71822,32 - 13,Lock Haven,Coleman Nogle,84309
2024,01/11,Harvard - Davidson Dual,133,W,MD,14 - 2,John Hager,84396,6 - 15,Davidson,Coleman Nogle,84309
2024,01/05,David Lehman Open,133,L,DEC,4 - 2,Tyler Dekraker,92133,Unlisted,Unattached,Coleman Nogle,84309
2024,01/05,David Lehman Open,133,W,DEC,5 - 4,Brendan Ferretti,72187,10 - 11,Navy,Coleman Nogle,84309
2024,01/05,David Lehman Open,133,W,MD,15 - 5,Nain Vasquez,76010,2 - 3,Army West Point,Coleman Nogle,84309
2024,01/05,David Lehman Open,133,L,DEC,5 - 1,Conor Collins,74086,11 - 11,Army West Point,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,W,FALL,6:06,Jameson Garcia,84308,3 - 7,Harvard,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,W,DEC,4 - 1,Alex Almeyda,72982,9 - 2,Pennsylvania,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,W,MD,14 - 3,Andrew Austin,79051,5 - 10,Central Michigan,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,L,MD,15 - 3,Julian Chlebove,56769,19 - 10,Arizona State,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,W,INJ,4:37,Richie Koehler,51648,18 - 10,Rider,Coleman Nogle,84309
2024,12/29,Midlands Championships,133,L,DEC,6 - 1,Mason Leiphart,73193,22 - 11,Franklin & Marshall,Coleman Nogle,84309
2024,11/19,Keystone Classic,133,W,DEC,9 - 7,John Hildebrandt,78511,11 - 11,Drexel,Coleman Nogle,84309
2024,11/19,Keystone Classic,133,L,DEC,11 - 4,Michael Colaiocco,56733,16 - 12,Pennsylvania,Coleman Nogle,84309
2024,11/19,Keystone Classic,133,L,MD,12 - 3,Haiden Drury,64645,16 - 10,Utah Valley,Coleman Nogle,84309
2024,11/19,Keystone Classic,133,W,FALL,4:04,Logan Frazier,73869,10 - 7,Virginia Tech,Coleman Nogle,84309
2024,11/12,Journeymen Classic,133,L,DEC,6 - 4,Carter Dibert,71775,3 - 7,Arizona State,Coleman Nogle,84309
2024,11/12,Journeymen Classic,133,W,FALL,2:36,Jake Staud,73365,1 - 6,Army West Point,Coleman Nogle,84309
2024,11/12,Journeymen Classic,133,W,DEC,9 - 7,Daniel Uhorchuk,71765,5 - 7,Army West Point,Coleman Nogle,84309
2024,11/04,Rhode Island Open,141,L,DEC,12 - 9,Jaden Pepe,84310,6 - 11,Harvard,Coleman Nogle,84309
2024,11/04,Rhode Island Open,141,W,FALL,1:28,Joseph Gangi,86829,Unlisted,New England College,Coleman Nogle,84309
2024,11/04,Rhode Island Open,141,W,TF5,17 - 2 4:15,Kylar Kurtz,84479,0 - 6,Harvard,Coleman Nogle,84309
2024,11/04,Rhode Island Open,141,W,FALL,0:28,Martial Sutton,77135,Unlisted,Unattached,Coleman Nogle,84309
2024,11/04,Rhode Island Open,141,W,TF5,17 - 1 5:29,Brett Redner,82915,Unlisted,Rhode Island College,Coleman Nogle,84309
2025,03/09,Ivy Championships,133,L,MD,11 - 3,Danny Jones,80085,13 - 9,Princeton,Logan Brzozowski,85072
2025,03/09,Ivy Championships,133,W,DEC,4 - 2,Hunter Adrian,65842,9 - 11,Brown,Logan Brzozowski,85072
2025,03/09,Ivy Championships,133,L,FALL,4:12,Danny Jones,80085,13 - 9,Princeton,Logan Brzozowski,85072
2025,02/21,Brown - Harvard Dual,133,L,DEC,5 - 3,Hunter Adrian,65842,9 - 11,Brown,Logan Brzozowski,85072
2025,02/15,Columbia - Harvard Dual,133,W,TF5,21 - 6 7:00,Connor Smith,93075,1 - 15,Columbia,Logan Brzozowski,85072
2025,02/02,Harvard - Pennsylvania Dual,133,L,TF5,19 - 4 7:00,Ryan Miller,62350,23 - 8,Pennsylvania,Logan Brzozowski,85072
2025,02/02,Harvard - Princeton Dual,133,L,DEC,8 - 1,Danny Jones,80085,13 - 9,Princeton,Logan Brzozowski,85072
2025,01/25,Binghamton - Harvard Dual,133,W,DEC,2 - 1,Jack Kazalas,93763,5 - 10,Binghamton,Logan Brzozowski,85072
2025,01/25,Cornell - Harvard Dual,133,L,MD,8 - 0,Tyler Ferrera,78735,13 - 7,Cornell,Logan Brzozowski,85072
2025,01/18,Harvard - Navy Dual,133,W,DEC,7 - 5,Brendan Ferretti,72187,7 - 12,Navy,Logan Brzozowski,85072
2025,01/17,Harvard - American Dual,133,L,DEC,16 - 11,Raymond Lopez,71769,20 - 13,American,Logan Brzozowski,85072
2025,12/29,Midlands Championships,125,L,DEC,4 - 2,Brady Pruett,73565,11 - 7,Pennsylvania,Logan Brzozowski,85072
2025,12/29,Midlands Championships,125,W,MD,12 - 1,Nick Corday,70986,7 - 8,Michigan State,Logan Brzozowski,85072
2025,12/29,Midlands Championships,125,L,DEC,8 - 4,Koda Holeman,73792,19 - 13,Cal Poly,Logan Brzozowski,85072
2025,12/06,Cliff Keen Invitational,125,W,TF5,17 - 2 7:00,John Braman,92867,0 - 3,Wyoming,Logan Brzozowski,85072
2025,12/06,Cliff Keen Invitational,125,L,FALL,0:45,Dedrick Navarro,84344,18 - 13,Northwestern,Logan Brzozowski,85072
2025,12/06,Cliff Keen Invitational,125,L,MD,11 - 3,Caleb Smith,58559,24 - 7,Nebraska,Logan Brzozowski,85072
2025,11/24,Keystone Classic,125,L,TF5,16 - 1 4:44,Dillon Campbell,84388,7 - 3,Virginia Tech,Logan Brzozowski,85072
2025,11/24,Keystone Classic,125,L,DEC,13 - 7,Jack Parker,83327,16 - 16,Franklin & Marshall,Logan Brzozowski,85072
2025,11/24,Keystone Classic,125,W,DEC,8 - 4,Landon Bainey,85070,17 - 15,Edinboro,Logan Brzozowski,85072
2025,11/24,Keystone Classic,125,W,DEC,7 - 2,Chris Vargo,85069,19 - 13,Edinboro,Logan Brzozowski,85072
2025,11/24,Keystone Classic,125,W,DEC,4 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Logan Brzozowski,85072
2025,11/10,Journeymen Classic,125,L,DEC,12 - 7,Brady Pruett,73565,11 - 7,Pennsylvania,Logan Brzozowski,85072
2025,11/10,Journeymen Classic,125,L,DEC,10 - 3,Greg Diakomihalis,61116,9 - 1,Cornell,Logan Brzozowski,85072
2025,11/10,Journeymen Classic,125,W,DEC,14 - 10,Carson Wagner,78720,23 - 12,Binghamton,Logan Brzozowski,85072
2025,11/10,Journeymen Classic,125,W,DEC,3 - 1,Caleb Uhorchuk,79300,7 - 10,Army West Point,Logan Brzozowski,85072
2025,03/09,Ivy Championships,141,L,DEC,4 - 2,Ian Oswalt,71942,17 - 7,Brown,Dante Frinzi,74056
2025,03/09,Ivy Championships,141,L,MD,12 - 3,Lorenzo Frezza,84295,5 - 4,Columbia,Dante Frinzi,74056
2025,03/09,Ivy Championships,141,L,MD,15 - 2,Eligh Rivera,77389,19 - 9,Princeton,Dante Frinzi,74056
2025,02/15,Columbia - Harvard Dual,141,L,TF5,17 - 2 4:23,Lorenzo Frezza,84295,5 - 4,Columbia,Dante Frinzi,74056
2025,02/02,Harvard - Princeton Dual,141,L,TF5,21 - 6 6:35,Eligh Rivera,77389,19 - 9,Princeton,Dante Frinzi,74056
2025,01/25,Binghamton - Harvard Dual,141,W,DEC,6 - 5,Nathan Lucier,71763,10 - 17,Binghamton,Dante Frinzi,74056
2025,01/25,Cornell - Harvard Dual,141,L,DEC,7 - 4,Joshua Saunders,66947,19 - 8,Cornell,Dante Frinzi,74056
2025,01/18,Harvard - Navy Dual,141,L,FALL,7:00,Joshua Koderhandt,70917,27 - 6,Navy,Dante Frinzi,74056
2025,01/17,Harvard - American Dual,141,W,DEC,5 - 3,Elijah White,69903,6 - 14,American,Dante Frinzi,74056
2025,01/10,Franklin & Marshall Open,141,W,FALL,1:31,Adam Heckman,93819,3 - 8,Navy,Dante Frinzi,74056
2025,01/10,Franklin & Marshall Open,141,W,DEC,6 - 3,Conner Heckman,84588,5 - 10,Lock Haven,Dante Frinzi,74056
2025,01/10,Franklin & Marshall Open,141,L,DEC,7 - 0,Bryce Kresho,78572,33 - 15,Franklin & Marshall,Dante Frinzi,74056
2025,01/10,Franklin & Marshall Open,141,W,FALL,1:06,Deon Pleasant,71584,4 - 13,Drexel,Dante Frinzi,74056
2025,01/10,Franklin & Marshall Open,141,L,DEC,7 - 4,Shannon Hanna,57654,25 - 10,Campbell,Dante Frinzi,74056
2025,12/29,Midlands Championships,141,W,MD,17 - 7,Joey Buttler,84314,16 - 12,Indiana,Dante Frinzi,74056
2025,12/29,Midlands Championships,141,L,DEC,6 - 4,Briar Priest,71951,10 - 11,Pittsburgh,Dante Frinzi,74056
2025,12/29,Midlands Championships,141,L,FALL,3:19,Jason Miranda,64654,20 - 9,Stanford,Dante Frinzi,74056
2025,12/29,Midlands Championships,141,W,FALL,2:55,Bryce Kresho,78572,33 - 15,Franklin & Marshall,Dante Frinzi,74056
2025,11/24,Keystone Classic,141,L,DEC,6 - 3,Conner Heckman,84588,5 - 10,Lock Haven,Dante Frinzi,74056
2025,11/24,Keystone Classic,141,L,TF5,16 - 1 6:52,CJ Composto,62430,29 - 5,Pennsylvania,Dante Frinzi,74056
2025,11/24,Keystone Classic,141,W,DEC,9 - 5,Kellan Aure,81789,8 - 15,Central Michigan,Dante Frinzi,74056
2025,11/10,Journeymen Classic,141,L,DEC,3 - 1,Jameson Garcia,84308,10 - 9,Harvard,Dante Frinzi,74056
2025,11/10,Journeymen Classic,141,L,FALL,2:35,Bryce Kresho,78572,33 - 15,Franklin & Marshall,Dante Frinzi,74056
2025,11/10,Journeymen Classic,141,W,DEC,4 - 3,Christian Colman,71684,3 - 19,Duke,Dante Frinzi,74056
2024,01/27,Harvard - Binghamton Dual,141,L,DEC,9 - 6,Nathan Lucier,71763,16 - 14,Binghamton,Dante Frinzi,74056
2024,01/20,Sacred Heart - Harvard Dual,141,W,MD,12 - 1,Vincent Milazzo,69698,7 - 17,Sacred Heart,Dante Frinzi,74056
2024,01/11,Harvard - Lock Haven Dual,141,L,TF5,23 - 6 7:00,Wyatt Henson,63069,30 - 4,Lock Haven,Dante Frinzi,74056
2024,01/05,David Lehman Open,141,L,MD,14 - 3,Wynton Denkins,78619,15 - 9,Campbell,Dante Frinzi,74056
2024,01/05,David Lehman Open,141,L,DEC,4 - 2,Mason Clarke,64646,5 - 7,Columbia,Dante Frinzi,74056
2024,01/05,David Lehman Open,141,W,DEC,8 - 5,Christopher Martino,72987,6 - 13,Princeton,Dante Frinzi,74056
2024,01/05,David Lehman Open,141,W,DEC,4 - 3,Vincent Milazzo,69698,7 - 17,Sacred Heart,Dante Frinzi,74056
2024,12/29,Midlands Championships,141,L,DEC,3 - 0,Tyler Vasquez,76366,14 - 15,Princeton,Dante Frinzi,74056
2024,12/29,Midlands Championships,141,W,DEC,9 - 6,Kolby McClain,84346,6 - 17,Northwestern,Dante Frinzi,74056
2024,12/29,Midlands Championships,141,L,DEC,7 - 6,Bradley Rosen,70975,Unlisted,North Central,Dante Frinzi,74056
2024,11/19,Keystone Classic,141,W,FALL,1:01,Kylar Kurtz,84479,0 - 6,Harvard,Dante Frinzi,74056
2024,11/19,Keystone Classic,141,L,DEC,10 - 7,Cole Rhemrev,77875,6 - 8,Indiana,Dante Frinzi,74056
2024,11/19,Keystone Classic,141,W,DEC,9 - 5,Gabe Onorato,67006,7 - 7,Drexel,Dante Frinzi,74056
2024,11/19,Keystone Classic,141,L,MD,14 - 3,Isaac Byers,62807,24 - 16,Appalachian State,Dante Frinzi,74056
2024,11/19,Keystone Classic,141,W,DEC,5 - 2,Vincent Milazzo,69698,7 - 17,Sacred Heart,Dante Frinzi,74056
2024,11/12,Journeymen Classic,141,L,TF5,16 - 1 5:28,CJ Composto,62430,22 - 10,Pennsylvania,Dante Frinzi,74056
2024,11/12,Journeymen Classic,141,L,FALL,1:29,Beau Bartlett,62221,24 - 2,Penn State,Dante Frinzi,74056
2024,11/12,Journeymen Classic,141,L,TF5,20 - 3 5:44,Vince Cornella,71813,14 - 9,Cornell,Dante Frinzi,74056
2024,11/04,Rhode Island Open,141,W,FALL,1:14,Kylar Kurtz,84479,0 - 6,Harvard,Dante Frinzi,74056
2024,11/04,Rhode Island Open,141,W,DEC,13 - 8,Jaden Pepe,84310,6 - 11,Harvard,Dante Frinzi,74056
2024,11/04,Rhode Island Open,141,W,FALL,0:30,Martial Sutton,77135,Unlisted,Unattached,Dante Frinzi,74056
2023,03/04,EIWA Championships,133,L,DEC,9 - 6,Andrew Fallon,69899,5 - 11,Sacred Heart,Dante Frinzi,74056
2023,03/04,EIWA Championships,133,L,MD,15 - 6,Angelo Rini,56766,12 - 17,Columbia,Dante Frinzi,74056
2023,02/17,Brown - Harvard Dual,133,L,MD,11 - 3,Hunter Adrian,65842,20 - 13,Brown,Dante Frinzi,74056
2023,02/11,Hofstra - Harvard Dual,133,L,DEC,3 - 1,Chase Liardi,72134,10 - 13,Hofstra,Dante Frinzi,74056
2023,02/10,Columbia - Harvard Dual,133,W,FALL,1:45,Angelo Rini,56766,12 - 17,Columbia,Dante Frinzi,74056
2023,01/14,North Carolina - Harvard Dual,133,L,DEC,10 - 4,Jace Palmer,73198,8 - 11,North Carolina,Dante Frinzi,74056
2023,01/06,David Lehman Open,133,L,SV-1,4 - 2,John Hildebrandt,78511,4 - 3,Drexel,Dante Frinzi,74056
2023,01/06,David Lehman Open,133,L,MFOR,0 - 0,Nico Nardone,71688,7 - 6,Pennsylvania,Dante Frinzi,74056
2023,01/06,David Lehman Open,133,W,DEC,8 - 2,Sean Seefeldt,70755,1 - 7,Pennsylvania,Dante Frinzi,74056
2023,01/06,David Lehman Open,133,W,DEC,3 - 1,Jaxon Maroney,62880,6 - 12,Drexel,Dante Frinzi,74056
2023,01/06,David Lehman Open,133,W,DEC,6 - 4,Joey Melendez,50805,7 - 6,North Carolina,Dante Frinzi,74056
2023,12/29,Midlands Championships,133,L,DEC,10 - 4,Sean Pierson,60443,4 - 13,Princeton,Dante Frinzi,74056
2023,12/29,Midlands Championships,133,L,FALL,2:49,Michael Colaiocco,56733,25 - 7,Pennsylvania,Dante Frinzi,74056
2023,12/29,Midlands Championships,133,W,DEC,12 - 6,Gabe Vidlak,70293,4 - 5,Oklahoma,Dante Frinzi,74056
2023,12/02,Cliff Keen Invitational,133,L,MD,9 - 0,Dustin Norris,72154,13 - 16,Purdue,Dante Frinzi,74056
2023,12/02,Cliff Keen Invitational,133,L,TF5,15 - 0 7:00,Cody Phippen,50644,20 - 8,Air Force,Dante Frinzi,74056
