season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2022,03/17,NCAA Championships,125,L,DEC,7 - 0,Patrick McKee,50594,Minnesota,Brody Teske,52779,Northern Iowa
2022,03/17,NCAA Championships,125,W,DEC,8 - 4,Drew Hildebrandt,44818,Penn State,Brody Teske,52779,Northern Iowa
2022,03/17,NCAA Championships,125,L,DEC,9 - 3,Vitali Arujau,49108,Cornell,Brody Teske,52779,Northern Iowa
2022,03/17,NCAA Championships,125,W,DEC,5 - 3,Noah Surtin,56715,Missouri,Brody Teske,52779,Northern Iowa
2022,03/05,Big 12 Championships,125,L,DEC,8 - 3,Killian Cardinale,49268,West Virginia,Brody Teske,52779,Northern Iowa
2022,03/05,Big 12 Championships,125,W,DEC,6 - 3,Joey Prata,44734,Oklahoma,Brody Teske,52779,Northern Iowa
2022,03/05,Big 12 Championships,125,W,DEC,6 - 5,Kysen Terukina,67143,Iowa State,Brody Teske,52779,Northern Iowa
2022,03/05,Big 12 Championships,125,W,FALL,6:06,Jared Van Vleet,51357,Air Force,Brody Teske,52779,Northern Iowa
2022,02/17,Wisconsin - Northern Iowa Dual,125,L,DEC,5 - 3,Eric Barnett,56753,Wisconsin,Brody Teske,52779,Northern Iowa
2022,02/11,Iowa State - Northern Iowa Dual,125,W,DEC,6 - 3,Kysen Terukina,67143,Iowa State,Brody Teske,52779,Northern Iowa
2022,02/05,West Virginia - Northern Iowa Dual,125,L,MD,12 - 4,Killian Cardinale,49268,West Virginia,Brody Teske,52779,Northern Iowa
2022,02/04,Air Force - Northern Iowa Dual,125,W,DEC,9 - 5,Jared Van Vleet,51357,Air Force,Brody Teske,52779,Northern Iowa
2022,01/29,Northern Iowa - Oklahoma State Dual,125,L,SV-1,7 - 5,Trevor Mastrogiovanni,57608,Oklahoma State,Brody Teske,52779,Northern Iowa
2022,01/22,North Dakota State - Northern Iowa Dual,125,W,FALL,3:58,Lucas Rodriguez,51061,North Dakota State,Brody Teske,52779,Northern Iowa
2022,12/20,Northern Iowa - Penn State Dual,125,W,DEC,2 - 0,Jakob Campbell,49060,Penn State,Brody Teske,52779,Northern Iowa
2022,12/20,Northern Iowa - Cornell Dual,125,L,MD,18 - 7,Vitali Arujau,49108,Cornell,Brody Teske,52779,Northern Iowa
2022,12/04,Northern Iowa - Missouri Dual,125,W,FALL,5:58,Noah Surtin,56715,Missouri,Brody Teske,52779,Northern Iowa
2022,12/04,Virginia Tech - Northern Iowa Dual,125,W,DEC,7 - 4,Sam Latona,56742,Virginia Tech,Brody Teske,52779,Northern Iowa
2022,11/21,Daktronics Open,125,W,TF5,15 - 0 5:00,Jeremiah Reno,62342,Nebraska,Brody Teske,52779,Northern Iowa
2022,11/21,Daktronics Open,125,W,FALL,2:20,Tanner Jordan,57664,South Dakota State,Brody Teske,52779,Northern Iowa
2022,11/21,Daktronics Open,125,L,DEC,4 - 3,Corey Cabanban,57236,Iowa State,Brody Teske,52779,Northern Iowa
2022,11/21,Daktronics Open,125,W,DEC,14 - 8,Jager Eisch,72139,Minnesota,Brody Teske,52779,Northern Iowa
2022,01/30,Northern Iowa - Oklahoma Dual,125,L,DEC,4 - 1,Joey Prata,44734,Oklahoma,Kyle Gollhofer,57224,Northern Iowa
2022,01/22,NDSU No. Iowa ECM,125,W,DEC,8 - 2,Ryan Henningson,67078,North Dakota State,Kyle Gollhofer,57224,Northern Iowa
2022,01/14,Air Force - Northern Iowa Dual,125,W,DEC,6 - 2,Quinn Melofchik,61895,Air Force,Kyle Gollhofer,57224,Northern Iowa
2022,01/09,Wyoming Northern Iowa ECM,125,L,DEC,3 - 2,Jake Svihel,59535,Wyoming,Kyle Gollhofer,57224,Northern Iowa
2022,01/09,Wyoming Northern Iowa ECM,125,L,SV-1,7 - 5,Brendon Garcia,58028,Wyoming,Kyle Gollhofer,57224,Northern Iowa
2022,01/09,Northern Iowa - South Dakota State Dual,125,L,DEC,4 - 3,Tanner Jordan,57664,South Dakota State,Kyle Gollhofer,57224,Northern Iowa
2022,12/29,Illinois Matmen Open,125,L,DEC,7 - 5,Blake West,73337,Northern Illinois,Kyle Gollhofer,57224,Northern Iowa
2022,12/29,Illinois Matmen Open,125,W,DEC,3 - 2,Beau Bayless,59670,Harvard,Kyle Gollhofer,57224,Northern Iowa
2022,12/29,Illinois Matmen Open,125,L,DEC,4 - 3,Brandon Seidman,56803,Bucknell,Kyle Gollhofer,57224,Northern Iowa
2022,03/17,NCAA Championships,133,L,DEC,3 - 1,Chance Rich,50933,CSU Bakersfield,Kyle Biscoglia,51109,Northern Iowa
2022,03/17,NCAA Championships,133,L,DEC,10 - 4,Michael McGee,49264,Arizona State,Kyle Biscoglia,51109,Northern Iowa
2022,03/17,NCAA Championships,133,W,FALL,2:35,Brayden Palmer,59826,Chattanooga,Kyle Biscoglia,51109,Northern Iowa
2022,03/05,Big 12 Championships,133,L,DEC,6 - 2,Daton Fix,49263,Oklahoma State,Kyle Biscoglia,51109,Northern Iowa
2022,03/05,Big 12 Championships,133,W,SV-1,7 - 5,Haiden Drury,64645,Utah Valley,Kyle Biscoglia,51109,Northern Iowa
2022,03/05,Big 12 Championships,133,W,MD,10 - 2,Anthony Madrigal,50633,Oklahoma,Kyle Biscoglia,51109,Northern Iowa
2022,02/17,Wisconsin - Northern Iowa Dual,133,W,DEC,7 - 1,Ethan Rotondo,51219,Wisconsin,Kyle Biscoglia,51109,Northern Iowa
2022,02/11,Iowa State - Northern Iowa Dual,133,W,DEC,8 - 2,Ramazan Attasauov,58943,Iowa State,Kyle Biscoglia,51109,Northern Iowa
2022,02/05,West Virginia - Northern Iowa Dual,133,W,FALL,2:08,Garett Lautzenheiser,72996,West Virginia,Kyle Biscoglia,51109,Northern Iowa
2022,02/04,Air Force - Northern Iowa Dual,133,W,FALL,4:53,Sidney Flores,49031,Air Force,Kyle Biscoglia,51109,Northern Iowa
2022,01/30,Northern Iowa - Oklahoma Dual,133,W,DEC,4 - 0,Anthony Madrigal,50633,Oklahoma,Kyle Biscoglia,51109,Northern Iowa
2022,01/29,Northern Iowa - Oklahoma State Dual,133,L,DEC,5 - 1,Daton Fix,49263,Oklahoma State,Kyle Biscoglia,51109,Northern Iowa
2022,01/22,North Dakota State - Northern Iowa Dual,133,W,MD,8 - 0,Kellyn March,63030,North Dakota State,Kyle Biscoglia,51109,Northern Iowa
2022,01/14,Air Force - Northern Iowa Dual,133,W,FALL,4:58,Sidney Flores,49031,Air Force,Kyle Biscoglia,51109,Northern Iowa
2022,01/09,Wyoming Northern Iowa ECM,133,W,MD,9 - 0,Job Greenwood,67455,Wyoming,Kyle Biscoglia,51109,Northern Iowa
2022,01/09,Northern Iowa - South Dakota State Dual,133,W,MD,10 - 2,Caleb Gross,62668,South Dakota State,Kyle Biscoglia,51109,Northern Iowa
2022,12/21,Hofstra - Northern Iowa Dual,133,W,FALL,2:00,Dylan Acevedo-Switzer,73023,Hofstra,Kyle Biscoglia,51109,Northern Iowa
2022,12/20,Northern Iowa - Penn State Dual,133,L,FALL,4:34,Roman Bravo-Young,49665,Penn State,Kyle Biscoglia,51109,Northern Iowa
2022,12/20,Northern Iowa - Cornell Dual,133,L,DEC,5 - 2,Dominic LaJoie,49112,Cornell,Kyle Biscoglia,51109,Northern Iowa
2022,12/11,UNI Open,133,W,FALL,6:31,Korbin Shepherd,72550,Missouri,Kyle Biscoglia,51109,Northern Iowa
