season,date,event,weight_class,result,result_type,score,opponent,opponent_id,opponent_school,wrestler,wrestler_id,wrestler_school
2020,03/06,EIWA Championships,125,W,DEC,3 - 0,Joe Manchio,50937,Columbia,Patrick Glory,51100,Princeton
2020,03/06,EIWA Championships,125,W,MD,12 - 1,Trey Chalifoux,44745,Army West Point,Patrick Glory,51100,Princeton
2020,03/06,EIWA Championships,125,W,MD,15 - 2,Dylan Ryder,50876,Hofstra,Patrick Glory,51100,Princeton
2020,03/06,EIWA Championships,125,W,TF5,17 - 2 6:03,Tommaso Frezza,62421,Binghamton,Patrick Glory,51100,Princeton
2020,02/23,Rutgers - Princeton Dual,125,W,DEC,10 - 5,Nic Aguilar,51104,Rutgers,Patrick Glory,51100,Princeton
2020,02/09,Cornell - Princeton Dual,125,W,MD,9 - 0,Dominic LaJoie,49112,Cornell,Patrick Glory,51100,Princeton
2020,02/08,Columbia - Princeton Dual,125,W,TF5,19 - 1 6:09,Joe Manchio,50937,Columbia,Patrick Glory,51100,Princeton
2020,02/01,Princeton - Brown Dual,125,W,MD,10 - 1,Trey Keeley,44696,Brown,Patrick Glory,51100,Princeton
2020,01/31,Princeton - Harvard Dual,125,W,FALL,1:38,Nolan Hellickson,39558,Harvard,Patrick Glory,51100,Princeton
2020,01/11,Princeton - North Carolina State Dual,125,W,TF5,18 - 2 5:08,Tommy Cox,44623,NC State,Patrick Glory,51100,Princeton
2020,01/10,Princeton - North Carolina Dual,125,W,TF5,18 - 0 7:00,Timothy Decatur,63018,North Carolina,Patrick Glory,51100,Princeton
2020,12/29,Midlands Championships,125,W,TF5,17 - 0 6:36,Chris Cannon,62895,Northwestern,Patrick Glory,51100,Princeton
2020,12/29,Midlands Championships,125,W,DEC,4 - 0,Michael DeAugustino,56007,Northwestern,Patrick Glory,51100,Princeton
2020,12/29,Midlands Championships,125,W,FALL,3:50,Beau Bayless,59670,Harvard,Patrick Glory,51100,Princeton
2020,12/29,Midlands Championships,125,W,INJ,7:00,Brock Hudkins,44808,Indiana,Patrick Glory,51100,Princeton
2020,12/29,Midlands Championships,125,W,TF5,18 - 0 5:33,Noah Surtin,56715,Missouri,Patrick Glory,51100,Princeton
2020,12/19,Rider - Princeton Dual,125,W,FALL,1:35,Jonathon Tropea,46048,Rider,Patrick Glory,51100,Princeton
2020,12/08,Iowa - Princeton Dual,125,W,DEC,10 - 4,Aaron Cashman,56882,Iowa,Patrick Glory,51100,Princeton
2020,12/06,Princeton - Oklahoma State Dual,125,W,DEC,9 - 4,Nick Piccininni,39547,Oklahoma State,Patrick Glory,51100,Princeton
2020,11/23,Lehigh - Princeton Dual,125,W,SV-1,5 - 3,Brandon Paetzell,44578,Lehigh,Patrick Glory,51100,Princeton
2020,11/03,Princeton Open,125,W,TF5,17 - 2 4:30,Jonathon Tropea,46048,Rider,Patrick Glory,51100,Princeton
2020,11/03,Princeton Open,125,W,TF5,15 - 0 3:23,Nic Aguilar,51104,Rutgers,Patrick Glory,51100,Princeton
2020,11/03,Princeton Open,125,W,TF5,18 - 0 4:18,Blair Orr,55804,Pennsylvania,Patrick Glory,51100,Princeton
2020,11/03,Princeton Open,125,W,FALL,4:01,Angelo Rini,56766,Columbia,Patrick Glory,51100,Princeton
2020,02/29,National Collegiate Open,133,W,DEC,12 - 8,Trey Lane,62197,Virginia,Sean Pierson,60443,Princeton
2020,02/29,National Collegiate Open,133,L,MD,12 - 1,Joe Heilmann,51223,North Carolina,Sean Pierson,60443,Princeton
2020,02/29,National Collegiate Open,133,L,DEC,9 - 4,Orion Anderson,56379,Maryland,Sean Pierson,60443,Princeton
2020,02/29,National Collegiate Open,133,W,DEC,9 - 4,Chris Lanciano,57325,Bucknell,Sean Pierson,60443,Princeton
2020,02/23,Rutgers - Princeton Dual,133,L,DEC,7 - 5,Sammy Alvarez,56763,Rutgers,Sean Pierson,60443,Princeton
2020,02/15,Drexel - Princeton Dual,125,W,DEC,9 - 4,Antonio Mininno,50806,Drexel,Sean Pierson,60443,Princeton
2020,02/15,Pennsylvania - Princeton Dual,125,L,DEC,2 - 0,Michael Colaiocco,56733,Pennsylvania,Sean Pierson,60443,Princeton
2020,02/08,Columbia - Princeton Dual,133,L,DEC,11 - 7,Angelo Rini,56766,Columbia,Sean Pierson,60443,Princeton
2020,01/04,Franklin & Marshall Open,125,W,TF5,18 - 1 4:38,Romeo Rodriguez,65898,Ursinus,Sean Pierson,60443,Princeton
2020,01/04,Franklin & Marshall Open,125,W,DEC,8 - 2,Reese Fry,56796,Brown,Sean Pierson,60443,Princeton
2020,01/04,Franklin & Marshall Open,125,W,DEC,7 - 3,Jarod Kosman,56590,Maryland,Sean Pierson,60443,Princeton
2020,01/04,Franklin & Marshall Open,125,W,FALL,4:56,Kyle Randall,56471,Sacred Heart,Sean Pierson,60443,Princeton
2020,01/04,Franklin & Marshall Open,125,W,MD,8 - 0,Geo Barzona,49064,Bucknell,Sean Pierson,60443,Princeton
2020,12/29,Midlands Championships,125,W,MD,12 - 3,Matt Vinci,57087,Northwestern,Sean Pierson,60443,Princeton
2020,12/29,Midlands Championships,125,L,FALL,2:38,Jacob Schwarm,39750,Northern Iowa,Sean Pierson,60443,Princeton
2020,12/29,Midlands Championships,125,L,DEC,13 - 7,Bryce West,50039,Northern Illinois,Sean Pierson,60443,Princeton
2020,12/29,Midlands Championships,125,W,DEC,12 - 7,Noah Surtin,56715,Missouri,Sean Pierson,60443,Princeton
2020,12/08,Iowa - Princeton Dual,133,L,TF5,25 - 10 5:45,Austin DeSanto,49117,Iowa,Sean Pierson,60443,Princeton
2020,12/06,Princeton - Oklahoma State Dual,133,L,DEC,8 - 3,Reece Witcraft,57312,Oklahoma State,Sean Pierson,60443,Princeton
2020,11/23,Lehigh - Princeton Dual,133,L,DEC,11 - 5,Nick Farro,44590,Lehigh,Sean Pierson,60443,Princeton
2020,11/03,Princeton Open,125,W,DEC,5 - 3,Brandon Spellman,63969,NJRTC,Sean Pierson,60443,Princeton
2020,11/03,Princeton Open,125,W,TF5,19 - 4 7:00,Sean Foley,57285,Rider,Sean Pierson,60443,Princeton
2020,11/03,Princeton Open,125,L,DEC,10 - 7,Jonathon Tropea,46048,Rider,Sean Pierson,60443,Princeton
2020,11/03,Princeton Open,125,L,DEC,5 - 3,Nic Aguilar,51104,Rutgers,Sean Pierson,60443,Princeton
2020,03/06,EIWA Championships,133,L,MD,14 - 2,Angelo Rini,56766,Columbia,Ty Agaisse,45131,Princeton
2020,03/06,EIWA Championships,133,W,TF5,18 - 2 4:33,Jack Bruce,62869,Franklin & Marshall,Ty Agaisse,45131,Princeton
2020,03/06,EIWA Championships,133,L,DEC,3 - 0,Andrew Wert,50945,Army West Point,Ty Agaisse,45131,Princeton
2020,02/15,Drexel - Princeton Dual,133,W,DEC,6 - 4,Chase Shields,62820,Drexel,Ty Agaisse,45131,Princeton
2020,02/09,Cornell - Princeton Dual,133,L,DEC,9 - 3,Chaz Tucker,39771,Cornell,Ty Agaisse,45131,Princeton
2020,02/01,Princeton - Brown Dual,133,W,DEC,6 - 3,Charles Faber,49054,Brown,Ty Agaisse,45131,Princeton
2020,01/31,Princeton - Harvard Dual,133,W,DEC,10 - 8,Michael Jaffe,57702,Harvard,Ty Agaisse,45131,Princeton
2020,01/11,Princeton - North Carolina State Dual,133,L,DEC,1 - 0,Jarrett Trombley,50807,NC State,Ty Agaisse,45131,Princeton
2020,01/10,Princeton - North Carolina Dual,133,L,DEC,4 - 3,Joey Melendez,50805,North Carolina,Ty Agaisse,45131,Princeton
2020,01/04,Franklin & Marshall Open,133,L,MFOR,0 - 0,Justin Hoyle,54220,Hofstra,Ty Agaisse,45131,Princeton
2020,01/04,Franklin & Marshall Open,133,W,DEC,10 - 4,Brandon Loperfido,44874,Lock Haven,Ty Agaisse,45131,Princeton
2020,01/04,Franklin & Marshall Open,133,L,MFOR,0 - 0,Jordan Decatur,56727,Ohio State,Ty Agaisse,45131,Princeton
2020,12/29,Midlands Championships,133,L,MD,13 - 3,Sebastian Rivera,44799,Northwestern,Ty Agaisse,45131,Princeton
2020,12/29,Midlands Championships,133,L,SV-1,3 - 1,Michael Jaffe,57702,Harvard,Ty Agaisse,45131,Princeton
2020,12/29,Midlands Championships,133,W,DEC,9 - 4,Marshall Craig,51419,Purdue,Ty Agaisse,45131,Princeton
2020,12/29,Midlands Championships,133,W,DEC,4 - 1,Caleb Brooks,56507,Northern Illinois,Ty Agaisse,45131,Princeton
2020,12/19,Rider - Princeton Dual,133,L,DEC,3 - 2,Anthony Cefolo,40284,Rider,Ty Agaisse,45131,Princeton
2020,02/29,National Collegiate Open,133,L,DEC,7 - 3,Malcolm Robinson,49472,Rutgers,Mark Schleifer,49297,Princeton
2020,02/29,National Collegiate Open,133,W,DEC,8 - 6,Tyler Delaware,51358,Old Dominion,Mark Schleifer,49297,Princeton
2020,02/29,National Collegiate Open,133,L,MFOR,0 - 0,Jacob Allen,50935,Navy,Mark Schleifer,49297,Princeton
2020,03/06,EIWA Championships,141,L,MD,17 - 3,Corey Shie,51266,Army West Point,Marshall Keller,51509,Princeton
2020,03/06,EIWA Championships,141,L,DEC,4 - 0,Matthew Kazimir,51644,Columbia,Marshall Keller,51509,Princeton
2020,03/06,EIWA Championships,141,W,DEC,13 - 6,Wil Gil,51024,Franklin & Marshall,Marshall Keller,51509,Princeton
2020,02/23,Rutgers - Princeton Dual,141,L,DEC,5 - 2,Zach Firestone,45219,Rutgers,Marshall Keller,51509,Princeton
2020,02/15,Drexel - Princeton Dual,141,W,DEC,7 - 3,Tyler Williams,59552,Drexel,Marshall Keller,51509,Princeton
2020,02/15,Pennsylvania - Princeton Dual,141,L,DEC,10 - 6,Doug Zapf,50656,Pennsylvania,Marshall Keller,51509,Princeton
2020,02/09,Cornell - Princeton Dual,141,L,DEC,8 - 4,Noah Baughman,44749,Cornell,Marshall Keller,51509,Princeton
2020,02/08,Columbia - Princeton Dual,141,L,DEC,6 - 4,Matthew Kazimir,51644,Columbia,Marshall Keller,51509,Princeton
2020,02/01,Princeton - Brown Dual,141,L,DEC,8 - 3,Jimmy Pawelski,44653,Brown,Marshall Keller,51509,Princeton
2020,01/31,Princeton - Harvard Dual,141,L,DEC,8 - 6,Lukus Stricker,49139,Harvard,Marshall Keller,51509,Princeton
2020,01/11,Princeton - North Carolina State Dual,141,L,MD,17 - 4,Tariq Wilson,44862,NC State,Marshall Keller,51509,Princeton
2020,01/10,Princeton - North Carolina Dual,141,L,MD,12 - 2,Zach Sherman,49216,North Carolina,Marshall Keller,51509,Princeton
2020,01/04,Franklin & Marshall Open,141,W,FALL,0:24,Roberto Gonzalez,65953,Unattached,Marshall Keller,51509,Princeton
2020,01/04,Franklin & Marshall Open,141,W,MD,13 - 2,Jordan Ward,56721,North Carolina,Marshall Keller,51509,Princeton
2020,01/04,Franklin & Marshall Open,141,W,MFOR,0 - 0,Doug Zapf,50656,Pennsylvania,Marshall Keller,51509,Princeton
2020,01/04,Franklin & Marshall Open,141,W,MD,12 - 2,Brian Courtney,49331,Virginia,Marshall Keller,51509,Princeton
2020,01/04,Franklin & Marshall Open,141,W,DEC,7 - 0,Danny Bertoni,49173,Maryland,Marshall Keller,51509,Princeton
2020,12/29,Midlands Championships,141,W,DEC,9 - 2,Micah Krueger,50412,Northwestern,Marshall Keller,51509,Princeton
2020,12/29,Midlands Championships,141,L,MD,13 - 4,Josh Heil,45100,Campbell,Marshall Keller,51509,Princeton
2020,12/29,Midlands Championships,141,W,MFOR,0 - 0,Alec White,49305,Purdue,Marshall Keller,51509,Princeton
2020,12/29,Midlands Championships,141,L,DEC,3 - 2,Matthew Kazimir,51644,Columbia,Marshall Keller,51509,Princeton
2020,12/19,Rider - Princeton Dual,141,W,TF5,16 - 0 5:53,Chris Wright,51092,Rider,Marshall Keller,51509,Princeton
2020,12/08,Iowa - Princeton Dual,141,L,MD,12 - 2,Max Murin,49148,Iowa,Marshall Keller,51509,Princeton
